名詞,,サ変名詞,,形容動詞,,固有名詞,,人名,,ナイ形容,,副詞可能,,未知語,,タグ,,感動詞,,動詞,,形容詞,,副詞,,名詞B,,動詞B,,形容詞B,,副詞B,,名詞C,,否定助動詞,,形容詞（非自立）,
被害,6,お話,6,可能,3,ナカ,1,リスト,1,間違い,1,今,4,アライ,1,金融庁,10,はい,13,遭う,6,高い,3,少し,2,もと,3,する,22,ない,2,ちょっと,3,国,1,ない,4,欲しい,1
データ,5,電話,5,残念,1,大元,1,,,申し訳,1,今回,2,,,金融機関,7,あ,5,載る,4,無い,1,一応,1,かお,1,ある,7,,,すぐ,2,知,1,ん,2,,
キャッシュカード,4,確認,4,詳細,1,,,,,問題,1,全て,2,,,個人情報,5,あの,2,持つ,3,,,一度,1,,,いる,2,,,だいたい,2,,,,,,
情報,4,依頼,3,大丈夫,1,,,,,,,多く,2,,,詐欺グループ,4,あのー,2,出る,3,,,間もなく,1,,,とれる,2,,,ちゃんと,2,,,,,,
グループ,3,偽造,2,非常,1,,,,,,,たくさん,1,,,千葉県警,4,えー,2,聞く,3,,,実際,1,,,いう,1,,,どうやら,2,,,,,,
県警,3,詐欺,2,不正,1,,,,,,,現在,1,,,本人確認,1,あー,1,込み入る,2,,,全然,1,,,いらっしゃる,1,,,いったん,1,,,,,,
方々,3,捜査,2,,,,,,,,,今日,1,,,,,えーっと,1,調べる,2,,,,,,,ござる,1,,,かなり,1,,,,,,
ご存じ,2,逮捕,2,,,,,,,,,次第,1,,,,,すいません,1,引き出す,1,,,,,,,つく,1,,,きちんと,1,,,,,,
持ち物,2,連絡,2,,,,,,,,,先日,1,,,,,ま,1,確かめる,1,,,,,,,とる,1,,,そう,1,,,,,,
自宅,2,お願い,1,,,,,,,,,,,,,,,もしもし,1,言う,1,,,,,,,,,,,つい,1,,,,,,
お金,1,お知らせ,1,,,,,,,,,,,,,,,,,作る,1,,,,,,,,,,,どう,1,,,,,,
お作り,1,合同,1,,,,,,,,,,,,,,,,,思う,1,,,,,,,,,,,もう,1,,,,,,
ニュース,1,指示,1,,,,,,,,,,,,,,,,,持ち合わせる,1,,,,,,,,,,,もしも,1,,,,,,
ヤマ,1,失礼,1,,,,,,,,,,,,,,,,,終わる,1,,,,,,,,,,,よろしく,1,,,,,,
家族,1,出金,1,,,,,,,,,,,,,,,,,申す,1,,,,,,,,,,,,,,,,,,
皆様,1,所持,1,,,,,,,,,,,,,,,,,代わる,1,,,,,,,,,,,,,,,,,,
感じ,1,相談,1,,,,,,,,,,,,,,,,,知る,1,,,,,,,,,,,,,,,,,,
機関,1,担当,1,,,,,,,,,,,,,,,,,盗み見る,1,,,,,,,,,,,,,,,,,,
銀行,1,断定,1,,,,,,,,,,,,,,,,,入る,1,,,,,,,,,,,,,,,,,,
件数,1,入金,1,,,,,,,,,,,,,,,,,任せる,1,,,,,,,,,,,,,,,,,,
事件,1,発生,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自身,1,保管,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
主人,1,流出,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
取りまとめ,1,話,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手元,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手口,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
状況,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
人様,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世帯,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
全国,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
調べ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
通帳,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内容,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
犯人,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
本人,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
本部,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
