名詞,,サ変名詞,,形容動詞,,副詞可能,,タグ,,動詞,,副詞,,動詞B,,形容詞B,,副詞B,,名詞C,
裁判,3,電話,2,必要,2,近く,1,顧問弁護士,2,取り下げる,2,後で,1,する,6,ない,1,これから,1,件,1
会社,2,お願い,1,正式,1,今日,1,民事訴訟,2,急ぐ,1,必ず,1,ある,1,,,しばらく,1,,
銀行,2,お待ち,1,,,場合,1,携帯電話,1,教える,1,,,なる,1,,,よろしく,1,,
口座,1,依頼,1,,,,,振込先,1,行く,1,,,,,,,,,,
山田,1,管理,1,,,,,,,振り込む,1,,,,,,,,,,
事務,1,契約,1,,,,,,,切る,1,,,,,,,,,,
手数料,1,手続き,1,,,,,,,着く,1,,,,,,,,,,
訴状,1,紹介,1,,,,,,,頂く,1,,,,,,,,,,
相手方,1,振り込み,1,,,,,,,戻る,1,,,,,,,,,,
代金,1,提出,1,,,,,,,,,,,,,,,,,,
弁護士,1,,,,,,,,,,,,,,,,,,,,
未納,1,,,,,,,,,,,,,,,,,,,,
