名詞,,サ変名詞,,形容動詞,,固有名詞,,地名,,ナイ形容,,副詞可能,,未知語,,感動詞,,動詞,,副詞,,名詞B,,動詞B,,形容詞B,,副詞B,,名詞C,,否定助動詞,,形容詞（非自立）,
お父さん,3,電話,10,安全,3,ハシ,3,千葉,3,間違い,1,今,1,フクダ,3,はい,7,持つ,4,もう一度,1,あと,1,する,14,ない,4,そう,2,身,2,ない,6,いい,2
キャッシュカード,3,お伝え,5,可能,1,,,,,申し訳,1,今回,1,カツラギ,1,あっ,4,覚える,2,何で,1,,,なる,3,いい,1,まず,2,南,2,,,,
タカ,3,いたずら,3,緊急,1,,,,,,,最近,1,,,すみません,2,言う,2,次に,1,,,ある,2,よろしい,1,ちょっと,1,形,1,,,,
お忙しい,2,生活,3,大量,1,,,,,,,昨日,1,,,もしもし,2,取る,2,少し,1,,,いる,1,,,どう,1,,,,,,
銀行,2,メモ,2,,,,,,,,,朝,1,,,あ,1,引き出す,1,全然,1,,,かける,1,,,,,,,,,,
警察,2,記載,2,,,,,,,,,,,,,あー,1,行く,1,,,,,さしあげる,1,,,,,,,,,,
現金,2,お出かけ,1,,,,,,,,,,,,,ありがとう,1,差し上げる,1,,,,,やる,1,,,,,,,,,,
現場,2,お世話,1,,,,,,,,,,,,,そうですね,1,住む,1,,,,,わかる,1,,,,,,,,,,
住所,2,悪用,1,,,,,,,,,,,,,なるほど,1,出る,1,,,,,,,,,,,,,,,,
男性,2,確認,1,,,,,,,,,,,,,,,申す,1,,,,,,,,,,,,,,,,
通帳,2,急行,1,,,,,,,,,,,,,,,聞く,1,,,,,,,,,,,,,,,,
番号,2,固定,1,,,,,,,,,,,,,,,変わる,1,,,,,,,,,,,,,,,,
名前,2,質問,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
名簿,2,説明,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家族,1,捜査,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交番,1,逮捕,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
口座,1,通報,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伺い,1,発行,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
事件,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
持ち物,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
時点,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自宅,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
職員,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
職務,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内容,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
