名詞,,サ変名詞,,形容動詞,,組織名,,人名,,地名,,ナイ形容,,副詞可能,,感動詞,,動詞,,動詞B,,副詞B,,名詞C,,否定助動詞,
グループ,2,確認,3,不審,2,ナガイ,1,規,1,松戸,3,間違い,1,今回,2,はい,11,書く,1,する,10,すぐ,1,市,1,ない,1
警察,2,電話,3,安全,1,,,,,タイ,1,,,今後,1,あ,5,上る,1,ある,2,そう,1,東,1,ん,1
個人,2,お願い,2,,,,,,,千葉,1,,,先日,1,えと,5,申す,1,できる,2,,,風,1,,
情報,2,詐欺,2,,,,,,,,,,,,,あー,1,,,なる,2,,,模,1,,
ニュース,1,発見,2,,,,,,,,,,,,,あのー,1,,,はねる,1,,,,,,
リスト,1,訪問,2,,,,,,,,,,,,,いや,1,,,,,,,,,,
家族,1,記載,1,,,,,,,,,,,,,う,1,,,,,,,,,,
国外,1,失礼,1,,,,,,,,,,,,,え,1,,,,,,,,,,
市内,1,生活,1,,,,,,,,,,,,,もしもし,1,,,,,,,,,,
自宅,1,逮捕,1,,,,,,,,,,,,,,,,,,,,,,,,
住所,1,調査,1,,,,,,,,,,,,,,,,,,,,,,,,
新聞,1,連絡,1,,,,,,,,,,,,,,,,,,,,,,,,
大勢,1,,,,,,,,,,,,,,,,,,,,,,,,,,
被害,1,,,,,,,,,,,,,,,,,,,,,,,,,,
本人,1,,,,,,,,,,,,,,,,,,,,,,,,,,
名前,1,,,,,,,,,,,,,,,,,,,,,,,,,,
名簿,1,,,,,,,,,,,,,,,,,,,,,,,,,,
用件,1,,,,,,,,,,,,,,,,,,,,,,,,,,
