名詞,,サ変名詞,,形容動詞,,人名,,ナイ形容,,副詞可能,,未知語,,タグ,,感動詞,,動詞,,形容詞,,副詞,,名詞B,,動詞B,,形容詞B,,副詞B,,名詞C,,否定助動詞,,形容詞（非自立）,
息子,26,お話,8,安全,2,浜田,10,問題,1,今回,3,OO,4,分からん,19,え,8,起こす,8,悪い,1,一応,4,ただ,3,する,54,ない,1,きちんと,2,車,8,ない,23,欲しい,2
事故,15,怪我,6,あからさま,1,,,,,場合,2,ぇ,4,示談交渉,4,そうですね,3,分かる,6,黄色い,1,既に,1,,,なる,20,,,こう,2,形,5,ん,6,いい,1
示談,11,運転,5,いかが,1,,,,,直接,2,ぇであの,1,交通事故,2,あ,2,言う,5,大きい,1,次に,1,,,ある,13,,,まず,2,席,2,,,,
お父さん,7,変更,5,急,1,,,,,以降,1,,,損害賠償,1,はい,2,終わる,5,,,実際,1,,,できる,9,,,やはり,2,辺,2,,,,
相手,7,連絡,4,緊急,1,,,,,一番,1,,,,,あぁ,1,仰る,3,,,多少,1,,,いう,4,,,いきなり,1,右,1,,,,
相手方,7,違反,3,私的,1,,,,,今後,1,,,,,あの,1,行く,3,,,特に,1,,,いる,2,,,かなり,1,人,1,,,,
車線,6,禁止,3,主,1,,,,,事実,1,,,,,ま,1,困る,2,,,,,,,いらっしゃる,1,,,すぐ,1,線,1,,,,
状況,6,処分,3,重要,1,,,,,次第,1,,,,,まぁ,1,取る,2,,,,,,,かける,1,,,そう,1,体,1,,,,
責任,6,送検,3,甚大,1,,,,,全体,1,,,,,,,取れる,2,,,,,,,くる,1,,,ちょっと,1,非,1,,,,
義務,5,確認,2,正直,1,,,,,半年,1,,,,,,,乗る,2,,,,,,,ござる,1,,,とりあえず,1,物,1,,,,
警察,5,激突,2,大事,1,,,,,本日,1,,,,,,,応じる,1,,,,,,,なくなる,1,,,どう,1,,,,,,
交通,5,手続き,2,迷惑,1,,,,,,,,,,,,,課する,1,,,,,,,はねる,1,,,なんとか,1,,,,,,
代理人,5,処理,2,冷静,1,,,,,,,,,,,,,開ける,1,,,,,,,やる,1,,,まだ,1,,,,,,
付近,5,破水,2,,,,,,,,,,,,,,,駆けつける,1,,,,,,,,,,,まもなく,1,,,,,,
右側,4,話,2,,,,,,,,,,,,,,,決まる,1,,,,,,,,,,,もちろん,1,,,,,,
家族,4,お願い,1,,,,,,,,,,,,,,,見る,1,,,,,,,,,,,よく,1,,,,,,
刑務所,4,お手伝い,1,,,,,,,,,,,,,,,構う,1,,,,,,,,,,,,,,,,,,
決まり,4,お伝え,1,,,,,,,,,,,,,,,差し支える,1,,,,,,,,,,,,,,,,,,
交差点,4,お話し,1,,,,,,,,,,,,,,,済む,1,,,,,,,,,,,,,,,,,,
左側,4,後見,1,,,,,,,,,,,,,,,思う,1,,,,,,,,,,,,,,,,,,
ドア,3,交渉,1,,,,,,,,,,,,,,,指す,1,,,,,,,,,,,,,,,,,,
父様,3,口外,1,,,,,,,,,,,,,,,治る,1,,,,,,,,,,,,,,,,,,
ご存知,2,考慮,1,,,,,,,,,,,,,,,守る,1,,,,,,,,,,,,,,,,,,
奥さん,2,告訴,1,,,,,,,,,,,,,,,争う,1,,,,,,,,,,,,,,,,,,
裁判,2,骨折,1,,,,,,,,,,,,,,,打つ,1,,,,,,,,,,,,,,,,,,
事情,2,参考,1,,,,,,,,,,,,,,,知る,1,,,,,,,,,,,,,,,,,,
自分,2,失神,1,,,,,,,,,,,,,,,着く,1,,,,,,,,,,,,,,,,,,
守秘,2,承諾,1,,,,,,,,,,,,,,,潰れる,1,,,,,,,,,,,,,,,,,,
助手,2,心配,1,,,,,,,,,,,,,,,伝える,1,,,,,,,,,,,,,,,,,,
場所,2,整理,1,,,,,,,,,,,,,,,当たる,1,,,,,,,,,,,,,,,,,,
致傷,2,接近,1,,,,,,,,,,,,,,,入る,1,,,,,,,,,,,,,,,,,,
同士,2,接触,1,,,,,,,,,,,,,,,犯す,1,,,,,,,,,,,,,,,,,,
秘密,2,説明,1,,,,,,,,,,,,,,,負う,1,,,,,,,,,,,,,,,,,,
病院,2,走行,1,,,,,,,,,,,,,,,伏せる,1,,,,,,,,,,,,,,,,,,
お子さん,1,打撲,1,,,,,,,,,,,,,,,聞く,1,,,,,,,,,,,,,,,,,,
お腹,1,停止,1,,,,,,,,,,,,,,,預かる,1,,,,,,,,,,,,,,,,,,
お母さん,1,停車,1,,,,,,,,,,,,,,,落ち着く,1,,,,,,,,,,,,,,,,,,
シートベルト,1,電話,1,,,,,,,,,,,,,,,例える,1,,,,,,,,,,,,,,,,,,
一つ,1,妊娠,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一連,1,発生,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奥様,1,搬送,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加害,1,服役,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
過失,1,免許,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
株式会社,1,黙認,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
感じ,1,率先,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
救急,1,和解,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
業務,1,話し合い,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
刑事,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
現場,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
後ろ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
後方,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行政,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
最後,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三つ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伺い,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実刑,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
社会,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
主人,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
取り調べ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
