名詞,,サ変名詞,,形容動詞,,人名,,地名,,副詞可能,,タグ,,感動詞,,動詞,,形容詞,,副詞,,名詞B,,動詞B,,形容詞B,,副詞B,,名詞C,,否定助動詞,,形容詞（非自立）,
部下,4,監査,3,変,2,鈴木,9,千葉,2,時間,4,重要書類,2,うーん,5,言う,11,悪い,2,一応,3,しよう,4,する,13,ない,9,もう,23,駅,4,ない,21,いい,2
お母さん,3,待機,3,へた,1,,,,,今回,2,,,あっ,4,出る,8,早い,1,本当に,3,そいつ,3,なる,9,たらしい,1,まあ,12,下,2,,,,
会社,3,お礼,2,嫌,1,,,,,今日,2,,,あ,2,思う,7,,,何とか,1,たん,1,ある,2,,,ちょっと,10,勘,2,,,,
出先,2,用意,2,無理,1,,,,,さっき,1,,,いや,2,分かる,6,,,,,,,いる,2,,,どう,6,家,1,,,,
人間,2,一緒,1,,,,,,,結局,1,,,えっ,2,待つ,4,,,,,,,やる,2,,,そう,3,形,1,,,,
土地,2,営業,1,,,,,,,,,,,うん,1,代わる,4,,,,,,,かける,1,,,こう,2,親,1,,,,
お金,1,外出,1,,,,,,,,,,,じゃあ,1,着く,3,,,,,,,くる,1,,,いくら,1,袋,1,,,,
お父さん,1,結婚,1,,,,,,,,,,,なんか,1,戻る,3,,,,,,,しれる,1,,,すぐ,1,表,1,,,,
気持ち,1,梱包,1,,,,,,,,,,,ほんと,1,下ろせる,2,,,,,,,ちゃう,1,,,たぶん,1,,,,,,
銀行,1,仕事,1,,,,,,,,,,,もしもし,1,行う,2,,,,,,,まとめる,1,,,たまたま,1,,,,,,
言葉,1,謝,1,,,,,,,,,,,,,行く,2,,,,,,,やめる,1,,,まあだ,1,,,,,,
最初,1,説明,1,,,,,,,,,,,,,渡す,2,,,,,,,,,,,まだ,1,,,,,,
紙袋,1,話,1,,,,,,,,,,,,,間に合う,1,,,,,,,,,,,もともと,1,,,,,,
社員,1,,,,,,,,,,,,,,,持つ,1,,,,,,,,,,,,,,,,,,
状態,1,,,,,,,,,,,,,,,受け取れる,1,,,,,,,,,,,,,,,,,,
人達,1,,,,,,,,,,,,,,,終わる,1,,,,,,,,,,,,,,,,,,
全員,1,,,,,,,,,,,,,,,出す,1,,,,,,,,,,,,,,,,,,
段階,1,,,,,,,,,,,,,,,出来る,1,,,,,,,,,,,,,,,,,,
届け,1,,,,,,,,,,,,,,,足りる,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,足る,1,,,,,,,,,,,,,,,,,,
