名詞,,サ変名詞,,人名,,副詞可能,,タグ,,感動詞,,動詞,,形容詞,,動詞B,,形容詞B,,副詞B,,名詞C,,否定助動詞,
会社,4,電話,2,田中,1,今,2,携帯電話,1,ごめん,2,急ぐ,2,遅い,1,する,6,ない,1,これから,1,金,1,ない,5
役員,3,お願い,1,,,近く,1,,,あ,1,使い込む,2,,,なる,2,,,,,声,1,ん,1
銀行,2,沙汰,1,,,今日,1,,,,,代わる,2,,,いる,1,,,,,宅,1,,
警察,2,手続き,1,,,場合,1,,,,,教える,1,,,できる,1,,,,,,,,
示談,2,振り込み,1,,,,,,,,,言える,1,,,,,,,,,,,,
奥さん,1,振込,1,,,,,,,,,考える,1,,,,,,,,,,,,
顧問,1,調査,1,,,,,,,,,行く,1,,,,,,,,,,,,
口座,1,弁償,1,,,,,,,,,振り込む,1,,,,,,,,,,,,
資金,1,報告,1,,,,,,,,,知る,1,,,,,,,,,,,,
主人,1,連絡,1,,,,,,,,,知れる,1,,,,,,,,,,,,
税務,1,,,,,,,,,,,着く,1,,,,,,,,,,,,
総務,1,,,,,,,,,,,届出る,1,,,,,,,,,,,,
部長,1,,,,,,,,,,,分かる,1,,,,,,,,,,,,
弁護士,1,,,,,,,,,,,,,,,,,,,,,,,,
本人,1,,,,,,,,,,,,,,,,,,,,,,,,
