名詞,,サ変名詞,,形容動詞,,人名,,ナイ形容,,副詞可能,,未知語,,感動詞,,動詞,,形容詞,,副詞,,名詞B,,動詞B,,形容詞B,,副詞B,,名詞C,,否定助動詞,
カード,8,振り込み,7,大丈夫,4,森田,2,仕方,1,時間,8,ぇ,2,はい,8,分かる,9,悪い,1,一度,3,あと,1,する,15,ない,2,どう,4,形,4,ない,6
会社,4,電話,5,ギリギリ,2,,,,,夕方,2,ATM,1,そうですね,7,言う,6,,,一応,2,だいたい,1,なる,12,よろしい,2,もし,3,上,1,ぬ,1
銀行,3,確認,4,左様,2,,,,,あと,1,ぇと,1,え,6,思う,4,,,少々,2,とこ,1,ある,4,うい,1,ちょっと,2,場,1,ん,1
現金,3,連絡,4,かって,1,,,,,今,1,ぇとそうですね,1,あ,4,取る,4,,,再度,1,,,かしこまる,2,,,なんとか,2,先,1,,
債権,3,お話,3,,,,,,,直接,1,ぇとですね,1,うん,3,頂く,3,,,,,,,いう,1,,,すぐ,1,,,,
お父さん,2,お願い,2,,,,,,,,,ぇどのくらい,1,あの,2,入れる,3,,,,,,,いただく,1,,,そう,1,,,,
お母さん,2,回収,2,,,,,,,,,ぉ,1,ありがとう,2,間に合う,2,,,,,,,いただける,1,,,できるだけ,1,,,,
お母様,2,手続,2,,,,,,,,,,,あぁ,1,書く,2,,,,,,,ちゃう,1,,,とりあえず,1,,,,
キャッシュカード,2,考慮,1,,,,,,,,,,,えと,1,置く,2,,,,,,,もらう,1,,,なんと,1,,,,
クビ,1,失礼,1,,,,,,,,,,,ごめん,1,聞く,2,,,,,,,,,,,よろしく,1,,,,
額面,1,手続き,1,,,,,,,,,,,すみません,1,戻る,2,,,,,,,,,,,,,,,,
機械,1,振込,1,,,,,,,,,,,なんか,1,回る,1,,,,,,,,,,,,,,,,
金額,1,選択,1,,,,,,,,,,,まぁ,1,急ぐ,1,,,,,,,,,,,,,,,,
口座,1,話,1,,,,,,,,,,,,,教える,1,,,,,,,,,,,,,,,,
自分,1,,,,,,,,,,,,,,,兼ねる,1,,,,,,,,,,,,,,,,
取り扱い,1,,,,,,,,,,,,,,,建て替える,1,,,,,,,,,,,,,,,,
取り立て,1,,,,,,,,,,,,,,,考える,1,,,,,,,,,,,,,,,,
取立て,1,,,,,,,,,,,,,,,借りる,1,,,,,,,,,,,,,,,,
手持ち,1,,,,,,,,,,,,,,,振り込む,1,,,,,,,,,,,,,,,,
手前,1,,,,,,,,,,,,,,,切る,1,,,,,,,,,,,,,,,,
全国,1,,,,,,,,,,,,,,,待てる,1,,,,,,,,,,,,,,,,
窓口,1,,,,,,,,,,,,,,,着く,1,,,,,,,,,,,,,,,,
地域,1,,,,,,,,,,,,,,,動く,1,,,,,,,,,,,,,,,,
番号,1,,,,,,,,,,,,,,,入る,1,,,,,,,,,,,,,,,,
病院,1,,,,,,,,,,,,,,,分かれる,1,,,,,,,,,,,,,,,,
本当,1,,,,,,,,,,,,,,,返せる,1,,,,,,,,,,,,,,,,
目安,1,,,,,,,,,,,,,,,来る,1,,,,,,,,,,,,,,,,
有無,1,,,,,,,,,,,,,,,話す,1,,,,,,,,,,,,,,,,
